Date,Close
2023-01-02,100.0000
2023-01-03,100.5085
2023-01-04,98.9027
2023-01-05,100.1058
2023-01-06,101.6274
2023-01-07,98.5792
2023-01-08,96.6045
2023-01-09,96.8256
2023-01-10,96.3709
2023-01-11,96.3717
2023-01-12,95.1116
2023-01-13,96.4643
2023-01-14,97.6798
2023-01-15,97.8081
2023-01-16,99.5871
2023-01-17,100.3504
2023-01-18,99.0286
2023-01-19,99.6325
2023-01-20,98.1660
2023-01-21,99.5607
2023-01-22,99.5096
2023-01-23,99.2474
2023-01-24,98.2156
2023-01-25,100.1522
2023-01-26,99.9360
2023-01-27,99.2912
2023-01-28,98.7691
2023-01-29,99.6277
2023-01-30,100.2301
2023-01-31,100.9112
2023-02-01,101.6259
2023-02-02,105.1407
2023-02-03,104.4984
2023-02-04,103.6871
2023-02-05,102.3947
2023-02-06,103.4210
2023-02-07,105.3050
2023-02-08,105.1448
2023-02-09,103.7911
2023-02-10,102.4801
2023-02-11,103.5638
2023-02-12,104.8117
2023-02-13,105.7409
2023-02-14,104.6670
2023-02-15,105.0791
2023-02-16,105.3011
2023-02-17,105.6932
2023-02-18,107.1829
2023-02-19,107.5904
2023-02-20,108.7766
2023-02-21,108.9221
2023-02-22,109.4490
2023-02-23,110.5728
2023-02-24,108.0937
2023-02-25,107.5802
2023-02-26,106.8154
2023-02-27,105.7749
2023-02-28,105.3463
2023-03-01,107.8854
2023-03-02,106.4533
2023-03-03,108.1185
2023-03-04,105.3195
2023-03-05,104.7941
2023-03-06,105.0917
2023-03-07,106.0953
2023-03-08,107.3196
2023-03-09,108.6986
2023-03-10,108.1327
2023-03-11,107.3775
2023-03-12,108.8679
2023-03-13,108.5701
2023-03-14,106.4397
2023-03-15,104.5854
2023-03-16,103.1100
2023-03-17,103.9488
2023-03-18,104.2107
2023-03-19,105.3788
2023-03-20,104.7007
2023-03-21,104.9911
2023-03-22,106.0595
2023-03-23,105.5728
2023-03-24,106.3640
2023-03-25,105.2897
2023-03-26,104.7180
2023-03-27,104.1188
2023-03-28,102.2042
2023-03-29,103.0191
2023-03-30,102.2882
2023-03-31,102.3363
2023-04-01,103.1422
2023-04-02,103.8984
2023-04-03,105.0215
2023-04-04,104.8873
2023-04-05,104.2189
2023-04-06,104.1165
2023-04-07,101.4139
2023-04-08,99.1559
2023-04-09,97.1383
2023-04-10,95.6507
2023-04-11,96.2811
2023-04-12,94.9438
